Pack Name	Topic	Problem Name	Problem Link	Question Statement	Time Complexity	Memory Complexity	Question	A	B	C	D	Correct	Message Response For A	Message Response For B	Message Response For C	Message Response For D	Brute Force Approach	C++ Answer	Python Answer	Java Answer	English Solution Video
Algorithms Pack	Binary Search	Heaters	https://leetcode.com/problems/heaters/	Winter is coming! During the contest, your first job is to design a standard heater with a fixed warm radius to warm all the houses.    Every house can be warmed, as long as the house is within the heater's warm radius range.     Given the positions of houses and heaters on a horizontal line, return the minimum radius standard of heaters so that those heaters could cover all houses.    Notice that all the heaters follow your radius standard, and the warm radius will the same.	O(n log(n) + m log m)	O(1)	We're expecting an optimized solution of time complexity O(n log(n)) + O(m log m) and memory complexity O(1).	Greedy	Hash Table	Sorting + Binary Search	Dynamic Programming	C	Not quite!  This approach may not produce the optimal result. It may not consider heaters that are not the closest but still cover more houses. For example, if two heaters can each cover half the houses, but are farther away than the closest heater, this approach will miss them.  The approach? Sort the heater positions in increasing order. For each house, find the closest heater that is to the right of the house. If there is no such heater, find the closest heater that is to the left of the house. Calculate the distance between the house and the heater, and take the maximum distance as the minimum radius required to cover all houses.	Suboptimal.  This would be far too expensive in terms of space complexity.	Correct!  This approach involves binary search to find the minimum radius required to cover all the houses using the heaters. First, we sort the houses and heaters in ascending order. Then, we initialize the range of radius as 0 to 1e9 (a very large value). We check if it is possible to cover all the houses with the given radius using the possible() function. If yes, then we update the end of the range to mid-1 and update the radius to mid. Else, we update the start of the range to mid+1. We repeat this process until start becomes greater than end. Finally, we return the minimum radius that can cover all the houses.  Time Complexity: O(n log(n)), where n is the maximum of the size of houses and heaters. This is because of the sorting and binary search involved.  Memory Complexity: O(1), since we are using constant extra space.	Nope!  This approach does not work for the given problem because the optimal placement of heaters is not dependent on the previous placements. Each heater's placement is independent of the previous heaters' placement.	The brute-force approach here involves checking ALL possible heater radii, from 0 to the maximum distance between the leftmost and rightmost houses. We can then find the minimum radius that covers all the houses.  Why it's suboptimal: This approach has a time complexity of O(n^2), where n is the number of houses. As n can be as large as 10^4, this approach can take a long time to run and is not feasible for large inputs.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Heaters.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Heaters.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Heaters.java	https://youtu.be/XodnzXl_--A
Algorithms Pack	Binary Search	Missing Element in Sorted Array	https://leetcode.com/problems/missing-element-in-sorted-array/	Given an integer array nums which is sorted in ascending order and all of its elements are unique and given also an integer k, return the kth missing number starting from the leftmost number of the array.	O(log(n))	O(1)	We're expecting an optimized solution of time complexity O(log(n)) and memory complexity O(1).	Binary Search + Linear Search	Hash Table	Two Binary Searches	Binary Search	D	Convoluted!  Method: use binary search to find the index where the kth missing number should be, then perform a linear search from that index to find the kth missing number.  Weakness: while binary search can help us find the index where the kth missing number should be, performing a linear search from that index to find the kth missing number can be inefficient, especially if k is large. O(log(n)+ k) in time complexity.	Method: create a hash table to store all the numbers in the array, then iterate through the array, checking for missing numbers in the hash table until we find the kth missing number.  Weakness: both time and space complexity are worse, at O(n).	Unnecessary complexity involved!  Method: use binary search to find the index where the kth missing number should be, then use binary search again to find the kth missing number starting from that index.  Weakness: performing Binary Search twice is a BS approach for this problem. It gives a time complexity of O(log(n) * log k), which is significantly worse than the optimal approach.	Correct! First, we found it useful to define two helper functions - 'missing' and 'kth'. The 'missing' function calculates the number of missing elements from the leftmost element of the array up to a given index. The 'kth' function returns the k-th missing element starting from the given index.  Then, we check if the number of missing elements from the last element of the array is less than k. If it is, we can find the k-th missing element starting from the last element. Otherwise, we perform binary search on the array to find the index where the k-th missing element would be located. We update the start and end indices of the search based on whether the number of missing elements up to the mid index is less than or greater than k. We keep track of the latest index where the number of missing elements is less than or equal to k. Finally, we use the 'kth' function to return the k-th missing element starting from the latest index where the number of missing elements is less than or equal to k.  Time Complexity: O(log(n)) because of the binary search, where n is the size of the input array.  Space Complexity: O(1), because we only use a constant amount of additional memory for our solution.	Brute-Force Approach: Linear search  Description: Iterate through the array, counting the missing numbers until we find the kth missing number.  Time complexity: O(n), where n is the length of the array.  Space complexity: O(1), since we don't need to store any extra data.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Missing%20Element%20in%20Sorted%20Array.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Missing%20Element%20in%20Sorted%20Array.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Missing%20Element%20in%20Sorted%20Array.java	https://youtu.be/Ucvaef4ySnc
Algorithms Pack	Binary Search	Kth Smallest Number in Multiplication Table	https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/	Nearly everyone has used the Multiplication Table. The multiplication table of size m x n is an integer matrix mat where mat[i][j] == i * j (1-indexed).    Given three integers m, n, and k, return the kth smallest element in the m x n multiplication table.	O(m log(nm))	O(1)	We're expecting an optimized solution of time complexity O(m log(nm)) and memory complexity O(1).	Min-Heap	Binary Search	Sorting	Optimized Count Sort	B	Suboptimal. The idea is to use a heap to store the elements in the multiplication table in increasing order. We would then pop k elements from the heap and return the kth smallest element. This would have a time complexity of O(mnlog(m*n)) which is the same as the brute force approach.	Correct - well done!  Our approach is to use binary search to find the kth smallest element in the m x n multiplication table. We first set the start to 1 and the end to m x n, then we compute the mid value, and use a helper function 'lessEqCount' to count the number of elements in the table less than or equal to mid. If the count is less than k, then we update the start to mid + 1. Otherwise, we update the end to mid - 1 and update the answer to mid. We repeat this process until the start and end meet.	This apporach would yield a poor time complexity, especially when compared to the binary search.	Not a good option: binary search is the best approach by far.	Brute-force: we could solve this problem by simply iterating over all elements in the table and sorting them, and then returning the kth smallest element. This would have a time complexity of O(mnlog(m*n)) which is too slow for large values of m and n.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Kth%20Smallest%20Number%20in%20Multiplication%20Table.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Kth%20Smallest%20Number%20in%20Multiplication%20Table.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Kth%20Smallest%20Number%20in%20Multiplication%20Table.java	https://youtu.be/pwv3di65RJY
Algorithms Pack	Binary Search	Sqrt(x)	https://leetcode.com/problems/sqrtx/	Given a non-negative integer x, return the square root of x rounded down to the nearest integer. The returned integer should be non-negative as well.    You must not use any built-in exponent function or operator.    For example, do not use pow(x, 0.5) in c++ or x ** 0.5 in python.	O(log(n))	O(1)	We're expecting an optimized solution of time complexity O(log(n)) and memory complexity O(1).	Linear Search	Binary Search	Inbuilt Exponent Function	Binary Search + Linear Search	B	Method: Use a linear search: We can start with a guess of 0 and increment it until we find the smallest square greater than x, and then return the previous integer value as the square root of x. This approach has a time complexity of O(sqrt(x)), which is slower than binary search.    Weakness: Using a linear search is slower than binary search, especially for large values of x. It also requires checking each integer value up to the square root of x, which can be computationally expensive for large values of x.	Correct! A very nice solution, only surpassed by 'Newton's Method', which is also interesting to look up! Our solution uses the binary search algorithm to find the square root of a non-negative integer x, rounded down to the nearest integer. We start with a lower bound of 0 and an upper bound of x, and then repeatedly calculate the midpoint between these bounds. We then check whether the square of the midpoint is greater than or less than x. If the square of the midpoint is less than x, we update the lower bound to be the midpoint; otherwise, we update the upper bound to be the midpoint. We continue this process until the difference between the upper and lower bounds is less than a small epsilon value, at which point we return the lower bound plus the epsilon value as the square root of x rounded down to the nearest integer. This approach is commonly known as the binary search method for finding square roots, or the 'Babylonian method' since it is an ancient algorithm that was used by Babylonian mathematicians.   Time complexity: O(log(x)), since we use binary search to converge on the correct answer.  Space complexity is O(1), since we only need to store a few variables for the algorithm.	Oops! Read the question carefully!	Combining these two approaches here is going to be way less efficient than simply using one or the other.	Brute-force: We can start with a guess of 0 and increment it until we find the largest square less than or equal to x. This approach has a time complexity of O(sqrt(x)), since we need to try all possible integers up to the square root of x.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Sqrt(x).cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Sqrt(x).py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Sqrt(x).java	https://youtu.be/NHnl8iqG4O8
Algorithms Pack	Depth-First Search	Kill Process	https://leetcode.com/problems/kill-process/	You have n processes forming a rooted tree structure. You are given two integer arrays pid and ppid, where pid[i] is the ID of the ith process and ppid[i] is the ID of the ith process's parent process.    Each process has only one parent process but may have multiple children processes. Only one process has ppid[i] = 0, which means this process has no parent process (the root of the tree).    When a process is killed, all of its children processes will also be killed.    Given an integer kill representing the ID of a process you want to kill, return a list of the IDs of the processes that will be killed. You may return the answer in any order.	O(n)	O(n)	We're expecting an optimized solution of time complexity O(n) and memory complexity O(n).	Topological Sorting	Linear Search	Inorder Traversal	DFS	D	Incorrect!  We don't have a guaranteed DAG here, so topological sort is not a realistic option.	Too slow. The idea is okay. We iterate over the list of processes and check if each process is a descendant of the process to be killed. If yes, we add it to the result.  Why it's suboptimal: This approach is inefficient for large trees since it checks all processes, even if they are not descendants of the process to be killed. Time Complexity: O(n^2), where n is the total number of processes.	Suboptimal.  First of all, inorder traversal assumes a binary tree, which is not guaranteed in a process tree. Hence, the inorder traversal can be incorrect in some cases.	Correct!  DFS can traverse the process tree starting from the process to be killed. First, we build a graph using a hash table where each process ID maps to a list of its children's IDs. Then, starting from the process to be killed, we perform a DFS and add all visited nodes to a set. The set contains all the processes that need to be killed.  Time Complexity: O(n), where n is the total number of processes. The algorithm builds a graph by iterating over all the processes once, which takes O(n) time. The DFS function traverses the tree, visiting each node at most once. Hence, it takes O(n) time. The set construction from visited nodes takes O(n) time in the worst case.  Memory Complexity: O(n), where n is the total number of processes.	A brute-force here?  : Traverse the process tree for every process to identify which processes need to be killed.  Why it's suboptimal: This approach is suboptimal because it requires traversing the entire tree for each process. Hence, the time complexity is O(n^2), where n is the total number of processes.  Time Complexity: O(n^2)	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Kill%20Process.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Kill%20Process.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Kill%20Process.java	https://youtu.be/bG4VPzYB1Uo
Algorithms Pack	Depth-First Search	Employee Importance	https://leetcode.com/problems/employee-importance/	You have a data structure of employee information, including the employee's unique ID, importance value, and direct subordinates' IDs.    You are given an array of employees employees where:    employees[i].id is the ID of the ith employee.  employees[i].importance is the importance value of the ith employee.  employees[i].subordinates is a list of the IDs of the direct subordinates of the ith employee.  Given an integer id that represents an employee's ID, return the total importance value of this employee and all their direct and indirect subordinates.	O(n)	O(n)	We're expecting an optimized solution of time complexity O(n) and memory complexity O(n).	DFS + Hash Table	Recursive Traversal	BFS Without Hash Table	Union Find	A	Correct!  In our approach, we use depth-first search (DFS) to traverse the hierarchy of employees starting from the given employee ID. We use an hash table to map each employee's ID to the corresponding Employee object for quick access.  We start by fetching the Employee object for the given ID and add its importance value to the result. We then recursively call the dfs() function on each of its subordinates and add their importance values to the result.  We repeat this process for each subordinate, continuing to traverse the hierarchy of employees until we have visited every direct and indirect subordinate. We return the final result, which is the total importance value of the given employee and all their direct and indirect subordinates.  Time Complexity: O(n), where n is the total number of employees in the organization. We traverse each employee at most once.  Memory Complexity: O(n), where n is the total number of employees in the organization. We store the Employee objects in an hash table for quick access.	Suboptimal. This is identical to the brute-force approach.	Better to include a hash table. Starting from the employee with the given ID, use BFS to traverse the hierarchy and add up the importance values of all visited employees. This approach is suboptimal because it can result in duplicate work, since the same employee can be visited multiple times from different paths in the hierarchy. Its time complexity is O(n^2) in the worst case, where n is the number of employees.	Union Find is overkill for this problem, and there are simpler solutions that don't require building a graph and using a data structure like Union Find to solve it. This solution also requires some additional setup time to build the graph and perform the Union Find operations, which could be avoided with a simpler solution.	Brute-Force Approach:  For each employee, recursively traverse its direct and indirect subordinates, adding up their importance values.  Time Complexity: O(n^2) in the worst case, where n is the number of employees.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Employee%20Importance.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Employee%20Importance.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Employee%20Importance.java	https://youtu.be/V1FvJHDfdaw
Algorithms Pack	Depth-First Search	Number Of Connected Components in an Undirected Graph	https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/	You have a graph of n nodes. You are given an integer n and an array edges where edges[i] = [ai, bi] indicates that there is an edge between ai and bi in the graph.    Return the number of connected components in the graph.	O(n+m)	O(n+m)	We're expecting an optimized solution of time complexity O(n+m) and memory complexity O(n+m).	Hash Set of Hash Sets	Kruskal's Algorithm	DFS	Matrix Multiplication	C	As older people sometimes say in English, this is really making a complete hash of things….use DFS instead!	A little inefficient! This approach involves using Kruskal's algorithm for finding the minimum spanning tree of the graph, and then counting the number of connected components in the tree. This approach has a time complexity of O(m log m), where m is the number of edges in the graph. However, it is not guaranteed to work correctly if the graph is not connected, and it may also be less efficient than the other approaches in practice.	Correct!  To do this, we first create an undirected graph using the edges given in the input. Then, we traverse the graph using a depth-first search algorithm to count the number of connected components in the graph. We do this by starting from an unvisited node and traversing all of its neighbors, marking them as visited as we go. We continue until all nodes in the connected component have been visited, then we increment our count of connected components and move on to the next unvisited node. Once we have visited all nodes in the graph, our count of connected components will be the final answer.  Time Complexity: O(n + m)  Memory Complexity: O(n + m) because we store the graph as an adjacency list with one vector for each node and a vector of pairs for each edge.	Highly inefficient! Build an adjacency matrix from the given edges and perform matrix multiplication with the matrix raised to the power of the number of nodes in the graph. Count the number of non-zero entries in the resulting matrix.  Time Complexity: O(n^3 log(n))  Memory Complexity: O(n^2).	Brute-force: we can start by generating all possible subsets of the nodes in the graph, and for each subset, check if all the nodes are connected. This can be done by performing a depth-first search or breadth-first search on the subset and checking if all the nodes are visited.  Time complexity: O(2^n * n^2), where n is the number of nodes in the graph.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Number%20of%20Connected%20Components%20in%20an%20Undirected%20Graph.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Number%20of%20Connected%20Components%20in%20an%20Undirected%20Graph.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Number%20of%20Connected%20Components%20in%20an%20Undirected%20Graph.java	https://youtu.be/RZYpd3ZlfAM
Algorithms Pack	Depth-First Search	Flood Fill	https://leetcode.com/problems/flood-fill/	An image is represented by an m x n integer grid image where image[i][j] represents the pixel value of the image.    You are also given three integers sr, sc, and color. You should perform a flood fill on the image starting from the pixel image[sr][sc].    To perform a flood fill, consider the starting pixel, plus any pixels connected 4-directionally to the starting pixel of the same color as the starting pixel, plus any pixels connected 4-directionally to those pixels (also with the same color), and so on. Replace the color of all of the aforementioned pixels with color.    Return the modified image after performing the flood fill.	O(mn)	O(mn)	We're expecting an optimized solution of time complexity O(mn) and memory complexity O(mn).	Dynamic Programming	DFS	Topological Sort	Rabin-Karp Algorithm	B	Not needed here.	Correct! Look up the flood fill algorithm if you're not already familiar with it! The memory complexity here is far from optimal, but this problem is included to give a basic demonstration of the flood fill itself. In this approach, we start from the given starting point (sr, sc) and perform a DFS traversal. During traversal, we mark all the pixels which are connected to the starting pixel and have the same color as the starting pixel. We replace the color of all such pixels with the new color.  We use a helper function named isValid() to check if the given pixel is a valid pixel or not. We also use a vector visited to mark the visited pixels.  Time Complexity: O(m * n), where m is the number of rows and n is the number of columns of the image. In the worst case, we might have to visit all the pixels of the image.  Memory Complexity: O(m * n), where m is the number of rows and n is the number of columns of the image. We use a boolean visited array of size m * n to keep track of the visited pixels.	No, not used at all!	Not used here.	The brute-force solution is very similar to the one we offer as a demonstration here.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Flood%20Fill.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Flood%20Fill.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Flood%20Fill.java	https://youtu.be/s6_NsNHCEOw
Algorithms Pack	Depth-First Search	Count Sub Islands	https://leetcode.com/problems/count-sub-islands/	You are given two m x n binary matrices grid1 and grid2 containing only 0's (representing water) and 1's (representing land). An island is a group of 1's connected 4-directionally (horizontal or vertical). Any cells outside of the grid are considered water cells.    An island in grid2 is considered a sub-island if there is an island in grid1 that contains all the cells that make up this island in grid2.    Return the number of islands in grid2 that are considered sub-islands.	O(mn)	O(mn)	We're expecting an optimized solution of time complexity O(mn) and memory complexity O(mn).	Flood Fill	Union Find	DFS	Brute-Force + Memoization	C	Suboptimal because it still checks every cell of *each island* in grid2, which is unnecessary since we can use DFS to visit all cells of an island in linear time.  Approach: Perform a flood-fill algorithm for each island in grid2 to find all the cells that belong to the island, then check if all the cells also belong to the corresponding island in grid1.  Time complexity: O(mn*(m+n)) where m and n are the number of rows and columns in the matrix respectively. This is because for each cell in grid2 that belongs to an island, we perform a flood-fill algorithm that traverses at most m+n cells.  Memory complexity: O(mn)	Suboptimal because union-find has a time complexity of O(α(mn)), which is slower than DFS in the worst-case scenario where α is the inverse Ackermann function.  Approach: Create disjoint sets for each island in grid2, then merge cells in the same island. For each set of cells in grid2, check if it is a subset of any set in grid1.  Time complexity: O(mnα(mn)) where m and n are the number of rows and columns in the matrix respectively, and α is the inverse Ackermann function. This is because we use a union-find data structure to merge cells into sets, and the worst-case time complexity of union-find is O(α(mn)).  Memory complexity: O(mn).	Correct!  We traverse through each cell of grid2 that contains a 1 and perform a DFS to check if it is a sub-island of grid1. To do this, we simply check if the current cell is a valid cell and if it contains a 1. If it does, we check if the corresponding cell in grid1 also contains a 1. If it does not, the current island is not a sub-island, and we return. If it does, we mark the current cell as visited in grid2 and recursively check its neighboring cells. We continue until we have visited all the cells of the current island. If at any point during the traversal, we encounter a cell that is not a part of the corresponding island in grid1, we mark the island as false and return.  Time Complexity: O(mn), where m and n are the number of rows and columns in grid2, respectively.  Memory Complexity: O(mn), where m and n are the number of rows and columns in grid2, respectively.  Additionally, the DFS recursion stack also uses O(mn) space in the worst case scenario, where all cells are part of a single island.	Highly inefficient!  Approach: For each cell in grid2, memoize whether the cell belongs to an island, and whether that island is a sub-island of grid1. To memoize, use a hash table to store visited islands of grid2, and check if an island in grid2 is a subset of any visited island in grid1.  Time complexity: O(m^2n^2) where m and n are the number of rows and columns in the matrix respectively. This is because we need to check every cell of every island in grid2 and compare it to every visited island in grid1.  Memory complexity: O(mn) for the hash table.	Brute-force approach: check every island in grid2 to see if it is a sub-island of grid1 by comparing each cell in the island to the corresponding cell in the island of grid1.  Time complexity: O(m^2n^2) where m and n are the number of rows and columns in the matrix respectively. This is because we need to check every cell of every island in grid2 and compare it to every cell of the corresponding island in grid1.  Memory complexity: O(1)...but look at the time complexity!	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Count%20Sub%20Islands.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Count%20Sub%20Islands.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Count%20Sub%20Islands.java	https://youtu.be/WDsH02DSRUQ
Algorithms Pack	Depth-First Search	Coloring A Border	https://leetcode.com/problems/coloring-a-border/	You are given an m x n integer matrix grid, and three integers row, col, and color. Each value in the grid represents the color of the grid square at that location.    Two squares belong to the same connected component if they have the same color and are next to each other in any of the 4 directions.    The border of a connected component is all the squares in the connected component that are either 4-directionally adjacent to a square not in the component, or on the boundary of the grid (the first or last row or column).    You should color the border of the connected component that contains the square grid[row][col] with color.    Return the final grid.	O(mn)	O(mn)	We're expecting an optimized solution of time complexity O(mn) and memory complexity O(mn).	Union-Find	Flood Fill	DFS	Edge-Detection	C	Not quite optimal!  Method: Use a union-find data structure to find the connected component containing the specified cell. During the union-find, keep track of which cells are on the border of the component. Finally, color all the border cells with the specified color.   Weakness: Time complexity: O(m * n * α(m * n)) where α is the inverse Ackermann function. Space complexity: O(m * n).	This adds a little unnecessary complexity. A more general DFS is better.	Correct!  Method: our solution uses a depth-first search (DFS) algorithm to identify the connected component that contains the given square at (row, col) and mark it as visited. Then, we iterate over the entire grid and color in the border of the visited component with the given color. To do this, we check if a cell is adjacent to an unvisited cell or is on the border of the grid, and if so, we color it in.  Time Complexity: O(mn), since we visit every cell of the grid at most once.  Memory Complexity: O(mn), since we use a visited matrix of the same size as the grid.	Controversially, no!    Method: iterate through the border of the grid, and for each cell on the border, check if it is part of a connected component with the same color as the specified cell. If it is, color that cell with the specified color. Time complexity: O(m + n) where m and n are the dimensions of the grid. Space complexity: O(1).  Weakness: the edge-detection approach is efficient in terms of both time and space complexity, but it only works if the specified cell is on the border of the grid. If the cell is in the interior of the grid, this approach will not work.	Brute-force approach: Iterate through every cell in the grid, and for each cell, check if it is on the border of a connected component. If it is, color that cell with the specified color. Time complexity: O(m * n * max(m, n)) where m and n are the dimensions of the grid. Space complexity: O(1).	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Coloring%20A%20Border.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Coloring%20A%20Border.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Coloring%20A%20Border.java	https://youtu.be/u_ss6h5ycf4
Algorithms Pack	Depth-First Search	Number of Closed Islands	https://leetcode.com/problems/number-of-closed-islands/	Given a 2D grid consists of 0s (land) and 1s (water). An island is a maximal 4-directionally connected group of 0s and a closed island is an island totally (all left, top, right, bottom) surrounded by 1s.    Return the number of closed islands.	O(mn)	O(mn)	We're expecting an optimized solution of time complexity O(mn) and memory complexity O(mn).	Union-Find	DFS	Floyd-Warshall	Rabin-Karp	B	Plausible, but not best here!  Method: initialize a union-find data structure where each cell is a separate set. For each 0 cell, check its neighbors and union their sets if they're also 0s. Finally, count the number of sets that are closed islands.  Weakness: this solution has a time complexity of O(m*n) since union-find operations take O(1) time on average. However, it requires extra space to store the union-find data structure, making it less memory-efficient than the other solutions.	Correct! (BFS also works fine!)  Method: Our solution uses DFS to find the closed islands in a 2D grid. The DFS function traverses through the 2D grid, checking if each cell is a connected component or not. If the cell is a connected component, the DFS assigns a unique ID to the connected component. The DFS also checks if the connected component is touching the boundary, and if so, sets a boolean flag 'touches_boundary' to true. The 'onBoundary' function checks if the cell is on the boundary of the grid. The main function increments the count variable if the connected component is not touching the boundary.  Time Complexity: O(mn), where m and n are the number of rows and columns in the grid, respectively.  Memory Complexity: O(mn), as we are using an extra matrix of size m*n to store the connected component IDs.	Incorrect! This is not even close, as Floyd-Warshall is a shortest path algorithm.	Incorrect! This is used for string-based problems.	Iterate through each cell in the grid and for each 0 cell, perform a DFS to find all connected 0 cells, then check if it's a closed island. Count the number of closed islands found.  The initial brute force solution has a time complexity of O(mn(m+n)) since it performs a DFS for each 0 cell, leading to a worst-case scenario where we visit every cell twice (once for the DFS and once for the check). This is not optimal for larger grids.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Number%20of%20Closed%20Islands.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Number%20of%20Closed%20Islands.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Number%20of%20Closed%20Islands.java	https://youtu.be/D8GYZiLZKPU
Algorithms Pack	Depth-First Search	Detect Cycles in 2D Grid	https://leetcode.com/problems/detect-cycles-in-2d-grid/	Given a 2D array of characters grid of size m x n, you need to find if there exists any cycle consisting of the same value in grid.    A cycle is a path of length 4 or more in the grid that starts and ends at the same cell. From a given cell, you can move to one of the cells adjacent to it - in one of the four directions (up, down, left, or right), if it has the same value of the current cell.    Also, you cannot move to the cell that you visited in your last move. For example, the cycle (1, 1) -> (1, 2) -> (1, 1) is invalid because from (1, 2) we visited (1, 1) which was the last visited cell.    Return true if any cycle of the same value exists in grid, otherwise, return false.	O(nm)	O(nm)	We're expecting an optimized solution of time complexity O(nm) and memory complexity O(nm).	Floyd's Cycle-Finding Algorithm	Floyd-Warshall	Dynamic Programming	DFS	D	This approach may not work for all cases - the approach being where we apply Floyd's cycle-finding algorithm to find a cycle of length 4 or more in the grid. Additionally, it has a time complexity of O(m^2*n), which is less efficient than the DFS or union-find approach for most inputs.	Almost never optimal, unfortunately! The Floyd Warshall algorithm has a time complexity of O(n^3), which is not feasible for large inputs. Additionally, this approach is overkill for finding cycles of length 4 or more, as it computes the shortest path between every pair of cells in the grid.	Using DP+Memoization would be a very time-consuming exercise here. DFS is a better approach.	Correct!  We start by iterating through each cell of the grid and performing DFS from that cell if it hasn't been visited yet. During DFS, we mark visited cells and check if the current cell matches the starting cell of the cycle (if it does, then we've found a cycle). We also avoid revisiting the parent cell that was last visited. If we find a cycle, we terminate the search immediately and return true. If we traverse the entire grid and do not find any cycles, we return false.  Time Complexity: O(m*n), where m and n are the dimensions of the grid. This is because we need to traverse the entire grid, and each cell is visited at most once.  Memory Complexity: O(m*n), where m and n are the dimensions of the grid. This is because we need to keep track of visited cells using a 2D boolean array, which has the same dimensions as the grid.	In this case, the brute-force approach is a little similar to the suggested approach to offer a hint.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackCPP/Detect%20Cycles%20in%202D%20Grid.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackPythonSolutions/Detect%20Cycles%20in%202D%20Grid.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/AlgorithmsPackJavaSolutions/Detect%20Cycles%20in%202D%20Grid.java	https://youtu.be/YpbGXs5fl9s
